source_type,model,nome,segment,risk_profile,recent_event,has_existing_security,wtp_brl,decisao,objecoes,sentimento,confianca,bairro
ensemble,gpt-4o-mini,Joao Araujo,loja_roupas,crisis_driven,none,none,712.49,visualizou,budget|skepticism,0.3,0.4,unknown
ensemble,gpt-4o-mini,Eduardo Mendes,loja_roupas,conservative,none,alarm_monitored,686.43,visualizou,budget|existing_solution,0.0,0.6333333333333333,unknown
ensemble,gpt-4o-mini,Renata Souza,loja_roupas,pragmatic,slow_month,none,791.27,agendou,budget|skepticism,0.4,0.37,unknown
ensemble,gpt-4o-mini,Bruno Nascimento,loja_roupas,conservative,renovation,diy_cameras,913.46,visualizou,existing_solution|skepticism|complexity,0.13333333333333333,0.3333333333333333,unknown
ensemble,gpt-4o-mini,Beatriz Nascimento,loja_roupas,pragmatic,competitor_new,diy_cameras,645.46,visualizou,existing_solution|skepticism,0.3333333333333333,0.4666666666666667,unknown
ensemble,gpt-4o-mini,Daniel Oliveira,loja_roupas,pragmatic,slow_month,full_system,378.09,visualizou,budget|timing|existing_solution,0.13333333333333333,0.8666666666666667,unknown
ensemble,gpt-4o-mini,Marcelo Ferreira,loja_roupas,conservative,slow_month,diy_cameras,942.95,visualizou,existing_solution|skepticism,0.16666666666666666,0.7333333333333333,unknown
ensemble,gpt-4o-mini,Juliana Silva,loja_roupas,pragmatic,slow_month,diy_cameras,962.79,visualizou,budget|existing_solution|skepticism|complexity,0.03333333333333333,0.3333333333333333,unknown
ensemble,gpt-4o-mini,Gabriela Rodrigues,loja_roupas,crisis_driven,slow_month,diy_cameras,536.66,visualizou,budget|skepticism|timing|existing_solution,0.13333333333333333,0.4666666666666667,unknown
ensemble,gpt-4o-mini,Renata Souza,loja_roupas,crisis_driven,none,none,865.25,visualizou,skepticism|need_lack,0.3,0.43,unknown
ensemble,gpt-4o-mini,Ana Oliveira,loja_roupas,conservative,none,none,398.13,visualizou,budget|skepticism|need_lack,0.4633333333333333,0.7333333333333333,unknown
ensemble,gpt-4o-mini,Gabriela Ferreira,loja_roupas,conservative,renovation,none,449.62,agendou,,0.5333333333333333,0.7,unknown
ensemble,gpt-4o-mini,Antonio Silva,loja_roupas,crisis_driven,renovation,full_system,705.43,visualizou,existing_solution|skepticism,0.06666666666666667,0.43333333333333335,unknown
ensemble,gpt-4o-mini,Felipe Costa,loja_roupas,pragmatic,none,diy_cameras,327.82,visualizou,budget|existing_solution,0.13333333333333333,0.5333333333333333,unknown
ensemble,gpt-4o-mini,Lucas Nascimento,loja_roupas,innovator,theft,alarm_monitored,997.27,agendou,,0.5333333333333333,0.7333333333333333,unknown
ensemble,gpt-4o-mini,Andre Souza,loja_roupas,innovator,none,diy_cameras,957.25,visualizou,existing_solution,0.13333333333333333,0.83,unknown
ensemble,gpt-4o-mini,Gabriela Oliveira,loja_roupas,pragmatic,renovation,diy_cameras,330.86,visualizou,existing_solution,0.4,0.8,unknown
ensemble,gpt-4o-mini,Debora Santos,loja_roupas,conservative,none,full_system,403.67,visualizou,existing_solution,0.2,0.7333333333333333,unknown
ensemble,gpt-4o-mini,Maria Lima,loja_roupas,pragmatic,none,alarm_monitored,983.34,visualizou,existing_solution,0.13333333333333333,0.7833333333333333,unknown
ensemble,gpt-4o-mini,Aline Pereira,loja_roupas,pragmatic,slow_month,diy_cameras,874.38,visualizou,existing_solution,0.2,0.53,unknown
ensemble,gpt-4o-mini,Beatriz Silva,loja_roupas,pragmatic,competitor_new,alarm_monitored,973.77,visualizou,existing_solution|skepticism,0.0,0.4,unknown
